user,funding_source,amount
41345,3398,145.88
52789,3398,100
52794,3398,100
25382,3067,140.67
42865,3067,5000
34927,3067,150
41367,3067,138.6
52786,3067,100
42371,3556,296.06
28429,3556,461.02
29227,3556,650
29228,3556,205
34597,5019,492.34
35638,5019,140.02
37684,5019,695.43
39286,5019,211.77
39916,5019,100
39917,5019,22.03
54265,5019,478.17
30564,4097,594.59
38876,4097,1630.29
38952,4097,1706.96
54445,4097,2108.12
36867,4045,193.93
13533,1505,102.57
55809,8511,50
55790,8435,150
55793,8435,149.97
55796,8435,150
55799,8435,150
55801,8435,50
55952,8435,150
55929,8434,150
55932,8434,150
55933,8434,150
55949,8434,150
55950,8434,150
55955,8434,150
56093,8434,150
59185,8434,150
55942,8291,150
55943,8291,150
55944,8291,150
55946,8291,150
59239,8291,150
36581,5449,150.94
37473,5449,520
36460,5449,478.5
40358,7499,420
37900,6007,667.68
34776,5440,812.85
34780,5390,794.74
34802,5310,327.76
53121,5067,1030.87
41999,6561,40
42001,6525,268
40534,6324,115
29986,5556,2415.41
43540,4262,500
50264,4262,160
53710,4262,275
29726,3933,127.45
35534,3933,75
50221,3933,165
49031,3933,115
37682,5460,100
37705,5460,50
37720,5460,90
38712,5460,90
41365,5460,53.05
42115,5460,250
57195,8565,600
57197,8565,600
57215,8565,500
34541,8319,502.46
34553,8319,508.2
34590,8319,502.15
34635,8319,466.89
37330,8319,507.24
40458,8319,500.97
41667,8319,500
41697,8319,499.72
46180,8319,500
42570,8319,1062.74
46181,7713,464.72
49392,7742,108.78
49951,7742,300.08
49954,7742,205
49958,7742,165
49960,7742,203.48
50104,7742,255
50248,7742,252.51
54820,7742,148.84
39894,6162,100.66
40313,6162,58.13
41483,6162,55
44517,6162,150
44551,6162,50
41464,6162,28.96
49552,6162,120
20362,4443,20.5
20391,4443,82.23
20400,4443,151.03
20405,4443,67.28
20412,4443,79.89
20425,4443,61.78
20574,4443,102.86
20592,4443,96.03
20620,4443,100
21184,4443,142.96
27988,4443,100
28388,4443,120
33080,4443,150
41868,4443,61.21
42056,4443,90
43018,4443,50
47334,4443,100
48728,4443,100
55269,4443,100
58774,4443,80
29673,4023,336
29674,4023,2904.88
29676,4023,2325.56
37831,4023,1017.41
38217,4023,780.02
38308,4023,1394.5
46737,4023,1810.55
28637,3399,1000
28685,3399,290.48
28715,3399,1000
27779,3211,1245
27190,3211,1537.22
28717,3124,250
28720,3124,250
28723,3124,250
28727,3124,250
28734,3124,250
28736,3124,250
28747,3124,250
28774,3124,250
28941,3124,250
28946,3124,250
28968,3124,250
28995,3124,250
29242,3124,250
45867,7171,500
44748,1520,400
50995,1520,400
15665,1421,500
47678,1408,750
55648,5732,500
50668,5732,62.39
28883,3742,284.05
39382,3717,82.73
30416,4128,23.68
18266,1831,491.73
55537,1831,260
16734,702,600
37210,702,183
38704,702,505
54237,702,15
11139,702,395
29668,702,100
43838,702,5
44041,702,254.25
20563,702,60
54899,702,590
24266,6929,38.31
24299,6929,847.15
23065,991,2176.7
15344,991,70
8498,991,50
22656,991,50
8141,380,879.75
41357,380,8.17
49513,380,118.76
54554,380,500
41318,380,300
25534,7157,32.6
25647,3129,88.58
29563,3063,0.02
33780,5114,400
53675,5114,300
57443,5114,387.17
39096,5971,57.27
39612,5971,250
39613,5971,175
40011,5971,165
40294,5971,317.76
47822,7466,4521.94
50797,7466,500
55713,7466,500
55725,7466,500
48147,7466,949.92
48175,7466,854.89
48433,7466,843.33
21037,5257,18
24378,2843,75
40359,2843,1125
43030,5092,441.68
43031,5092,681.57
43032,5092,500
43033,5092,661.88
43075,5092,500
43076,5092,568.65
43398,5092,476.97
33370,4723,800.4
33371,4723,1177.93
33373,4723,1166.39
33376,4723,431.07
33447,4723,325
33452,4723,1203.37
33454,4723,1500
33456,4723,1411.5
33457,4723,1500
33463,4723,1277.32
42285,4723,500
44513,4723,1039.33
52572,4723,500
46918,5541,9966.19
39391,3936,5.57
30479,3935,138.38
16583,3169,389.28
32376,8116,100
32411,8116,100
36495,8116,170
36499,8116,100
36501,8116,300
42981,8116,250
44321,8116,400
45478,8116,100
46127,8116,170
46128,8116,70
46130,8116,320
46785,8116,200
54486,8116,400
54498,8116,110
21610,2348,0.26
8446,6215,339
11825,6215,716.91
13368,6215,1513.17
14129,6215,440.57
19888,6215,297.57
27986,6215,1368.16
28825,6215,409.13
46712,6215,300
55490,6215,450
46308,925,445
46662,925,465
46663,925,250
46870,925,500
51144,925,500
53875,925,500
11520,551,512.57
49045,551,230.12
51461,551,979.86
31002,551,716.2
31008,551,380
31045,551,655
39720,551,518.2
39733,551,422.49
42050,551,511.2
56968,551,500
56970,551,500
12561,551,80
18108,551,600
18114,551,510
35135,551,505
35137,551,510
39670,551,500
40028,551,785
45545,551,500
46824,551,670
49545,551,490
51320,551,375
51378,551,390
46866,551,485
51171,551,490
35214,5253,610.13
35339,5253,315.04
38109,5253,353.41
37995,5253,256.1
37996,5253,350
37998,5253,350
37999,5253,1084.91
38000,5253,265.98
38002,5253,315
38004,5253,31.3
38007,5253,175
38009,5253,92.05
38016,5253,265
38017,5253,325
38020,5253,143.05
38043,5253,285.8
38064,5253,104.1
38116,5253,167.7
38119,5253,495.85
38233,5253,259.1
39019,5253,500
40073,5253,200
42147,5253,210
47423,5253,525
41002,5253,100
38160,5794,35
38916,5930,24
39747,5930,25
10484,753,107.77
10485,753,392.8
10498,753,269.68
10504,753,401.47
10505,753,150
10537,753,241.78
14780,753,2958.46
44079,753,85
53711,7219,2000
45715,5802,100
45716,5802,400
30766,5801,763.42
30116,4052,0.05
29538,3913,20
39211,4588,452.34
47550,4588,103.9
37568,1583,235
49226,1583,100
49264,1583,100
49421,1583,100
51436,1583,40
51605,1583,50
17296,1583,69.25
53142,1583,29.96
28275,3642,50
20724,2173,218
52207,8323,400
46187,7197,200
52888,7197,200
46188,7196,93.02
44838,7025,313.49
21382,2286,1764.56
18795,3918,50.49
37161,4842,366.14
41577,4842,500
41598,4842,429.57
41641,4842,500
43239,4842,4754.64
50395,4842,480
51323,4842,425
51450,4842,490
54596,4842,322.68
54671,4842,184.37
54923,4842,244.61
55149,4842,973.88
55329,4842,316.92
55284,4842,500
55285,4842,500
55565,4842,21.5
30099,3840,615
39023,3840,650
28040,1859,2453.47
28184,1859,500
36382,1859,701.46
37363,1859,240
44224,1859,1470
9587,636,5
45957,7014,320
45962,7014,260
24477,2847,16.9
24847,2847,200
36435,2847,200
36474,2847,200
35819,2847,0.07
42271,2847,314.98
45363,4974,300
33344,4283,397.46
41468,4283,125
33024,3766,0.01
33101,3766,200
40870,3766,1000
51279,3766,200
20085,3291,436.61
25960,3291,684.81
26494,3291,494.4
43488,3291,662.67
54538,3291,200
19052,3291,125
15897,6038,471
3893,733,200
30000,2377,2.23
30006,2377,186.03
30007,2377,175
30008,2377,62.08
30171,2377,135
21784,2377,779.89
29412,2377,158.82
30815,2377,116.87
39503,5222,18
43145,7311,75
46961,7311,75
14812,1304,870.03
20496,1304,330
28268,1304,525
51569,1304,400
32717,1304,790
47376,1304,240
51830,1304,127.52
52448,1304,240
29248,1070,5
41848,6496,100
41851,6496,100
41852,6496,100.01
41859,6496,100
40460,6327,30.56
26101,7165,175
26121,7165,175
26260,7165,75
26261,7165,200
26516,7165,200
26521,7165,200
26533,7165,200
26539,7165,200
26540,7165,200
26541,7165,200
26546,7165,200
26555,7165,200
26569,7165,200
26577,7165,200
26578,7165,175
26579,7165,100
26580,7165,200
26598,7165,200
26600,7165,8.55
26611,7165,23.31
26614,7165,200.01
26625,7165,200
26659,7165,200
29067,7165,6.05
29105,7165,5.68
29127,7165,200
29141,7165,70
29142,7165,127.1
29144,7165,200
32433,7165,200
32434,7165,200
32435,7165,50
32436,7165,70
32437,7165,125
32438,7165,4.54
32439,7165,200
32440,7165,60
32443,7165,75
32446,7165,200
32447,7165,200
32451,7165,199.99
32453,7165,200
32456,7165,100
32459,7165,199.99
32460,7165,100
32464,7165,97.94
32467,7165,100
32475,7165,148.9
32480,7165,200
33322,7165,55.49
33490,7165,100.85
33924,7165,200
33926,7165,70
34404,7165,200
34704,7165,200
34831,7165,175
35796,7165,200
36692,7165,100
36700,7165,160
41268,7165,200
47021,7165,200
47022,7165,200
47028,7165,200
47030,7165,150
47031,7165,200
47032,7165,200
47034,7165,60
47063,7165,200
47086,7165,200
47087,7165,225
47113,7165,200
48817,7165,175
49020,7165,100
53581,7165,100
25925,3486,40
27598,3386,20
26884,3233,125
29479,3233,100
45217,3233,250
36878,5567,250
35569,5298,2830.09
28859,4177,495
29266,4177,115.25
14009,1613,331.37
14007,1366,12.89
43203,6686,1000
43214,6686,1305
43341,6686,1236.7
43343,6686,945
43344,6686,1493.44
49370,6686,1269.36
53174,6686,500
53435,6686,500
43747,6686,500
43763,6686,466.6
43799,6686,806.09
43803,6686,490
43807,6686,500
53981,6686,2500
43819,6686,200
43825,6686,200
43830,6686,200
43844,6686,498.38
43719,6686,220
43762,6686,500
52720,6686,500
52772,6686,756.2
52775,6686,141
52813,6686,500
53107,6686,500
43412,6234,253.07
53838,6234,100
38587,5820,518
38806,5820,493
38829,5820,518
38856,5820,318
45783,5820,450
32371,5068,477.99
35946,5068,500
44248,5068,284.34
30733,4235,0.81
30894,4235,32
43859,6718,200
43924,6718,200
45669,6718,25
45817,6718,200
49348,6718,200
49374,6718,200
49375,6718,200
49376,6718,200
49379,6718,175
49380,6718,150
49388,6718,100
49479,6718,200
49480,6718,200
49770,6718,200
55646,6718,200
27325,3323,10
37884,6921,100
37887,6921,18
37890,6921,199.97
43600,6921,140.33
44822,6921,35.29
45043,6921,270
41116,6921,520.02
53030,6921,48.7
29505,3856,500
29541,3856,500
29542,3856,500
29545,3856,500
37155,3856,500
37370,3856,50
38532,3856,50
37777,3856,500
45174,3856,500
49284,3856,500
29548,2789,500
23268,2618,8.1
37115,4398,100
42100,4398,134
42101,4398,230.2
43758,4398,262.4
54000,4398,248.4
51407,1138,165
52355,1138,200
52362,1138,200
52388,1138,160
38163,5726,5995
38175,5653,150
40725,5653,238.24
40727,5653,750
40735,5653,100
40738,5653,392.26
40804,5653,134.54
40809,5653,377.32
53624,5653,100
40722,5653,80.88
40717,5653,125
40800,5653,150
40739,5653,533.51
29848,1528,10000
40987,6279,200.02
25859,2965,51.68
57487,2964,50
24766,2961,59.21
24768,2961,141.3
33198,2961,42.43
49462,2961,210
25879,2961,3850
34500,2961,200.02
37084,2961,116.27
37096,2961,0.02
38187,2961,0.02
40542,2961,200.02
40546,2961,200.06
40550,2961,150
40552,2961,200.01
40553,2961,200.01
40586,2961,190.89
40912,2961,100
41574,2961,7.41
41680,2961,27.29
43622,2961,139.8
45099,2961,200.02
51217,2961,160
51246,2961,200
51919,2961,200
54125,2961,200
54171,2961,190
54500,2961,200
55823,2961,200
37232,5385,193.03
37374,5385,304.06
37414,5385,500
37426,5385,500
37432,5385,478.95
38260,5385,500
38261,5385,500
38349,5385,500
38350,5385,43.56
38433,5385,100.81
38522,5385,804.1
39388,5385,500
43393,5385,500
44017,5385,500
53556,5385,474.41
54553,5385,990
33937,4564,305.23
33896,4564,386
33899,4564,490
33904,4564,485
33906,4564,490
39410,4564,524.14
40622,4564,274.33
48712,4564,490
48726,4564,445
48732,4564,345.65
49329,4564,250
50394,4564,500
54079,4564,465.8
38348,4564,500
52966,6917,450
49079,6917,955
41338,7431,144
43608,7320,2000
50843,7320,1500
52884,6034,100
13118,1065,195
13119,1065,185
13120,1065,171.83
13125,1065,135
12436,1065,75
16796,1065,195
17584,865,1
17597,865,1
17614,865,2
17641,865,3
17660,865,1
17708,865,2
17771,865,1
17697,865,5.5
44181,3217,710.1
44400,3217,574.21
49842,3217,267.87
26398,3217,1031.17
27274,3218,5
37132,3218,50
39953,6265,2.35
40268,6265,360
47155,7381,291.87
27528,3470,2.64
49474,3470,195.5
31605,1509,505
16036,1509,1050
16058,1509,1100
27776,1509,1000
36441,1509,1500
43997,6944,31.71
33421,4615,100
33711,4615,56.46
46119,4615,100
30316,3990,744.26
49327,3990,500
39958,6194,4275
23400,2685,309.48
54395,2685,620.21
14837,2684,537
14379,2681,253.35
22907,2681,5.76
27015,2681,700.05
35147,2681,100.98
44235,6527,1555.42
44281,6527,1700
44340,6527,1700
55807,6527,1500
59433,7811,2500
52763,7811,1000
24760,2958,494.27
24761,2958,138.24
57474,2958,500
29003,2803,500
29008,2803,127.6
29299,2803,386.56
29301,2803,152.86
29303,2803,207.48
53201,2803,414.09
53348,2803,378.52
10427,2803,730
18734,2683,300
23755,2683,1200
23806,2683,1250
25938,2683,1100
40805,2683,1250
45476,2683,863.77
53130,48,77.24
47480,6641,150
37314,5631,100
37355,5201,100
35111,4421,775.64
25319,3053,424.78
23797,2763,5
48664,7064,474.9
47782,4827,477.38
24609,4827,81.76
31430,4827,1115.69
17476,1734,712.91
41930,1734,355.77
12044,5968,279.67
5804,5968,1080.33
11398,5968,945.43
22104,5968,206.5
23776,5968,1326.88
31492,5968,1694
32629,5968,130
40329,5968,789.56
47073,5968,967.3
51986,5968,290.24
54208,5968,246.09
54209,5968,365.2
48317,5968,223.32
48328,5968,504.34
35105,5184,64.5
35122,5184,4.46
26572,2661,100.93
57453,2661,265
35404,5391,1185
44708,5269,300
44726,5269,300
45013,5269,289.98
28208,3999,21.43
29284,3999,19.32
30060,1135,737.17
24238,3102,10.11
34873,6551,50
26515,640,75.41
43923,640,100
50049,640,100
51968,640,52.63
52055,640,54
54480,640,100
56440,640,100
18874,1920,25
19033,1920,6529.41
23883,1920,1480.75
32726,2585,420.36
33637,2585,100
33695,2585,259.55
33940,2585,335
36485,2585,300
38165,2585,135
38166,2585,100
40758,2585,75
45950,2585,400
28116,2119,270
28117,2119,305
33642,2119,450
33646,2119,786.92
33871,2119,400
37050,2119,425
37083,2119,300
37085,2119,325
38084,2119,425
38090,2119,100
38121,2119,500
36591,2007,424.26
52468,2007,251.1
42994,2007,72
52795,7352,500
57524,7352,251.28
47978,7139,198.99
47981,7139,482.27
47991,7139,231.2
47992,7139,213.15
48001,7139,500
48116,7139,500
48229,7139,192.05
48230,7139,467.31
48236,7139,97.48
48251,7139,149.41
48284,7139,448.46
54713,7139,294.28
54714,7139,532.13
54733,7139,171.85
54735,7139,500
54746,7139,500.02
54781,7139,500
54784,7139,500
54804,7139,377.57
54805,7139,442.58
54903,7139,499.98
49184,7139,475.6
49186,7139,500
49686,7139,215.28
51684,7139,423.93
55678,7139,500
55680,7139,500
23614,2693,200
23621,2693,200
50075,8060,21.67
50212,8060,699.68
53785,8060,1359.66
53787,8060,806.12
17066,5325,177.89
17981,5325,166.14
21463,4209,10.96
16692,1610,174.69
18118,1610,638.26
27321,1610,85.73
27329,1610,1000
37466,1610,85
37626,1610,75
36102,5552,500
38992,5552,300
38993,5552,500
40306,5552,350
44142,5552,300
35927,5552,450
38893,5552,300
30395,4127,15
37899,5395,300
40999,5395,300
46793,5223,550
37127,5223,493.05
57329,5223,300
50559,5223,1075
50586,5223,1025
19450,591,500
21821,591,250
14579,590,250
19389,590,250
19426,590,433
11390,589,195
14573,588,250
23298,588,200
44126,6308,100
44128,6308,645
44130,6308,535
44156,6308,760
44169,6308,500
44170,6308,227.72
44175,6308,1000
44178,6308,1000
44225,6308,450
44698,6308,0.02
46041,6308,625
41107,6308,968
41114,6308,665
44153,6308,866.4
40057,6308,126.65
44443,6308,155.42
54774,6308,250
54823,6308,300.78
54857,6308,300
54971,6308,400
14102,1332,0.01
23543,1332,414
22909,1857,185
29780,320,0.01
30365,320,0.02
25018,4759,7.9
28523,4008,44.6
42760,6687,186.73
42839,6687,252.86
48277,6687,300
36286,5531,550
43900,5531,150
47001,6447,400
47002,6447,366.98
47008,6447,190
47047,6447,135
51809,6447,60
54413,6447,400
54715,6447,400
54716,6447,400
54724,6447,370
54794,6447,400
54795,6447,350
54824,6447,365
54885,6447,265
54886,6447,400
54887,6447,400
54888,6447,400
54891,6447,400
55038,6447,400
55581,6447,400
58800,6447,400
59364,6447,400
59480,6447,400
47048,6447,159.39
48912,6447,399.98
48938,6447,400
48939,6447,207.13
48941,6447,400
48942,6447,308.84
48958,6447,350.37
49054,6447,237.32
49055,6447,400
49546,6447,137.49
51692,6447,400
55374,6447,267.69
53905,6447,348.58
49346,6447,400
49347,6447,359.25
52467,6447,269.52
40938,5924,19.75
41117,5924,150
41118,5924,650.11
41122,5924,96.56
45381,5924,281.02
50479,5924,95
50782,5924,200
50783,5924,200
39392,5924,75.42
51056,7837,405.87
43059,6371,220
45265,6371,360
46118,6371,200
41109,6345,40.79
51801,6345,231.54
43599,6343,435.97
43601,6343,718.15
52065,6343,147.42
43112,6158,400
39845,5947,200
39900,5947,150
41455,5947,530
48568,5947,150
48570,5947,130
48572,5947,98.72
48991,5947,140
49024,5947,95
49422,5947,120
49461,5947,130
49615,5947,150
49856,5947,140
50833,5947,150
39796,5946,650
39837,5946,600
39840,5946,136
39766,5945,370
39767,5945,295.14
39780,5945,253.5
39800,5945,400
39846,5945,400
39876,5945,400
40436,5945,354.31
42908,5945,400
42912,5945,300
45148,5945,175
49036,5945,325
39283,5383,2030.05
49425,5383,935
45017,7038,83.5
46223,7038,0.01
46455,7038,0.74
45129,7038,250
45133,7038,36.61
45135,7038,141.47
45136,7038,104.24
45138,7038,23.99
45146,7038,184.19
48341,7038,72.99
48591,7038,0.05
48701,7038,250
55118,7038,50.99
56546,7038,218
50036,6330,200
20305,2046,297
54675,8406,50
41063,6295,912.61
41066,6295,2133
39119,5780,69.4
39578,5780,601.96
50735,5780,362
52591,7104,4797
52638,7104,4797
53064,7104,4797
52635,7104,4607
45794,7104,2398
52287,7104,525
52529,7104,2398
52531,7104,4247
40753,2337,50
21557,2339,141.4
22047,2339,300
22163,2339,38.13
25831,2339,100
55277,8507,100
45053,7116,910.52
6589,1712,159.06
7691,1712,384.02
9521,1712,884.24
34528,1712,418.86
34627,1712,899.49
47170,1712,86.19
47171,1712,170.01
54728,1712,90.23
54730,1712,70.01
54786,1712,436.02
54801,1712,62.59
55286,1712,158.1
47195,1712,228.11
45883,7164,10
39041,6020,139.2
21789,4635,1586
31911,4635,2000
44067,4635,1300
47039,4635,2362
47040,4635,1500
47041,4635,1000
47042,4635,1362
47044,4635,1362
48648,4635,1300
48755,4635,3224
51247,4635,1500
51625,4635,1500
53801,4635,1000
28187,1007,1132.07
16518,2021,75
57116,8185,100
20898,289,50
20911,289,50
36866,4320,140
25444,4709,37.67
47810,4709,464
14916,4709,100
21894,4709,100
23334,4709,100
12962,4709,20.38
14093,4709,200
49563,7679,500
49564,7679,500
49565,7679,500
49569,7679,500
49579,7679,500
39572,6086,125
39627,6086,1345
41124,6086,600
46284,6086,700
46945,6086,900
30986,1921,200
41380,6511,1123.83
42771,6511,210.62
42774,6511,223.87
25346,3045,25
26272,3045,250
30379,3045,500
27394,3429,4.11
30850,4603,29.17
31209,4603,205.55
35850,4603,50
44956,4603,154.44
46598,4603,233.38
46629,4603,200
47166,4603,198.1
50500,4603,77.81
41064,4243,258.12
43375,4243,6.02
30730,4199,59.14
