team_id,concession_amount,funding_source_id,amount,message
5139,"$1,000",6107,1000,
5607,"$1,000",3550,1000,
6031,"$1,000",4481,1000,
4581,"$1,000",639,1000,
4905,"$1,000",1304,1000,
5354,"$1,000",3157,1000,
5081,"$1,000",1841,1000,
5773,"$1,000",4122,1000,
5214,"$1,000",2157,1000,
5265,"$1,000",2243,1000,
6445,"$1,000",5866,1000,
4925,"$1,000",1364,1000,
4576,"$1,000",635,1000,
3727,$500,5968,500,
7149,$500,7967,500,
4284,$500,2807,500,
6853,$500,6908,500,
5349,$500,2789,500,
5201,$500,2240,500,
6928,$500,7136,500,
5021,$500,1574,500,
5203,$500,2374,500,
5488,$500,3026,500,
5039,$500,4170,500,
5522,$500,3168,500,
5835,$500,4423,500,
3428,$500,68,500,
6235,$500,5253,500,
6496,$500,5887,500,
6584,$500,6173,500,
6770,$500,6654,500,
5503,$500,3067,500,
3561,$500,750,500,
5535,$500,3242,500,
7202,$500,8193,500,
5520,$500,8397,500,
5802,$500,4739,500,
6013,$500,4542,500,
5045,$500,1661,500,
5490,$500,3022,500,
5548,$500,3299,500,
5625,$500,3617,500,
5513,$500,3101,500,
6986,$500,7458,500,
5169,$500,1992,500,
6250,$500,5260,500,
6637,$500,6327,500,
5283,$500,2302,500,
4884,$500,1263,500,
6880,$500,6983,500,
5336,$500,2428,500,
5426,$500,3370,500,
7160,$500,7946,500,
7201,$500,8221,500,
6548,$500,6120,500,
3589,$500,2813,500,
5779,$500,4488,500,
6893,$500,7089,500,
7185,$500,8115,500,
5337,$500,2415,500,
7140,$500,7978,500,
6240,$500,5268,500,
6062,$500,4653,500,
4731,$500,912,500,
6646,$250,6341,250,
6276,$250,5408,250,
4927,$250,1583,250,
5845,$250,4315,250,
5020,$250,1579,250,
5350,$250,2458,250,
4641,$250,811,250,
3376,$250,48,250,
4801,$250,1075,250,
6025,$250,4541,250,
6735,$250,6697,250,
6299,$250,5362,250,
3634,$250,1159,250,
6386,$250,5653,250,
7182,$250,8196,250,
5372,$250,3320,250,
5428,$250,2721,250,
5646,$250,3754,250,
5772,$250,4336,250,
4633,$250,738,250,
6829,$250,6851,250,
5072,$250,4827,250,
6881,$250,7117,250,
6485,$250,5869,250,
5801,$250,4245,250,
6529,$250,6168,250,
6899,$250,8359,250,
6895,$250,7066,250,
6921,$250,7104,250,
6523,$250,5965,250,
5560,$250,7745,250,
7171,$250,8346,250,
6287,$250,5519,250,
7230,$250,8231,250,
4826,$250,4443,250,
