user_id,balance,funding_source_id,amount
60479,50,4439,20
60633,50,4439,20
60634,50,4439,20
60642,50,4439,20
60645,50,4439,20
60671,50,4439,20
60677,50,4439,20
60704,50,4439,20
60814,50,4439,20
60911,50,4439,20
60951,50,4439,20
60952,50,4439,20
61005,50,4439,20
61038,50,4439,20
61071,50,4439,20
61076,50,4439,20
61084,50,4439,20
61115,50,4439,20
61124,50,4439,20
61198,50,4439,20
61213,50,4439,20
61220,50,4439,20
61250,50,4439,20
61420,50,4439,20
61700,50,4439,20
61709,50,4439,20
61740,50,4439,20
62001,50,4439,20
62026,50,4439,20
62048,50,4439,20
62111,50,4439,20
62125,50,4439,20
62283,50,4439,20
62321,50,4439,20
62449,50,4439,20
62472,50,4439,20
62516,50,4439,20
62585,50,4439,20
62809,50,4439,20
62835,50,4439,20
62875,50,4439,20
62892,50,4439,20
63466,50,4439,20
63856,50,4439,20
63970,50,4439,20
64294,50,4439,20
64584,50,4439,20
66518,50,4439,20
59351,55,4439,20
59370,55,4439,20
59379,55,4439,20
59456,55,4439,20
59501,55,4439,20
59543,55,4439,20
59568,55,4439,20
59624,55,4439,20
59632,55,4439,20
59639,55,4439,20
59658,55,4439,20
59681,55,4439,20
59696,55,4439,20
59701,55,4439,20
59707,55,4439,20
59752,55,4439,20
59763,55,4439,20
59782,55,4439,20
59806,55,4439,20
59836,55,4439,20
59840,55,4439,20
59843,55,4439,20
59850,55,4439,20
59878,55,4439,20
59890,55,4439,20
59902,55,4439,20
59955,55,4439,20
60016,55,4439,20
60035,55,4439,20
60070,55,4439,20
60171,55,4439,20
60274,55,4439,20
60349,55,4439,20
60363,55,4439,20
60376,55,4439,20
60413,55,4439,20
60428,55,4439,20
60435,55,4439,20
60542,55,4439,20
60558,55,4439,20
60559,55,4439,20
60635,55,4439,20
60646,55,4439,20
60681,55,4439,20
60697,55,4439,20
60730,55,4439,20
60738,55,4439,20
60757,55,4439,20
60773,55,4439,20
60782,55,4439,20
60787,55,4439,20
60807,55,4439,20
60907,55,4439,20
61021,55,4439,20
61102,55,4439,20
61104,55,4439,20
61156,55,4439,20
61241,55,4439,20
61245,55,4439,20
61306,55,4439,20
61318,55,4439,20
61328,55,4439,20
61336,55,4439,20
61403,55,4439,20
